POINT_ID,Latitude,Longitude,Survey_Date,pH_H2O,pH_CaCl2,EC,OC,CaCO3,P,N,K,Extraction_Time,Pipeline_Version,Sentinel_Product,Source_Dataset,sentinel_ok,Sentinel_Tile_ID,S2_PRODUCT_ID,NDVI,EVI,SAVI,MSAVI,GNDVI,NDMI,NDWI,BSI,NDRE,CIre,Brightness,ClayIndex,CRS,sentinel1_ok,S1_PRODUCT_ID,S1_ACQUISITION_DATE,VV_mean,VH_mean,VV_VH_ratio,RVI_mean,DEM_Source,dem_ok,elevation,slope,aspect,ERA5_Time,weather_ok,temperature_mean,temperature_max,temperature_min,rainfall_total_mm,rainfall_mean_mm,soil_moisture_mean,soil_moisture_max,soil_temperature_mean,solar_radiation_mean,wind_speed_mean,wind_speed_max,SoilGrids_Version,soil_ok,phh2o,nitrogen,soc,clay,sand,silt
47862690,47.15023795,16.13421178,06-07-18,4.81,4.1,8.73,12.4,3.0,< LOD,1.1,101.9,2026-07-17T14:56:15.807696,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.8166903853416443,0.4954379200935364,0.4529848098754883,0.4443036913871765,0.7344585657119751,0.3609371185302734,-0.7344585657119751,-0.3241985440254211,0.6233054399490356,3.566861391067505,0.1952128261327743,2.1349775791168213,EPSG:32633,1.0,cached,cached,24.580955505371094,21.478191375732425,1.144461154937744,1.3369405269622805,cop-dem-glo-30,1.0,289.6748352050781,11.028627395629885,133.46044921875,06-07-1,1.0,20.46944236755371,27.467681884765625,12.633697509765623,230.0824584960937,2.054307699203491,0.3650542795658111,0.4299468994140625,20.22953987121582,137.35081481933594,1.694620966911316,4.868531703948975,v2.0,1.0,6.1,6.69,46.6,24.9,25.4,49.8
47882704,47.27427248,16.17535859,06-07-18,4.93,4.1,5.06,16.7,1.0,< LOD,1.3,51.2,2026-07-17T14:56:15.808245,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.710037887096405,0.4731424450874328,0.4145967364311218,0.397204577922821,0.6472913026809692,0.3054881393909454,-0.6472913026809692,-0.2512060701847076,0.526315450668335,2.4301443099975586,0.2000981569290161,1.85992169380188,EPSG:32633,1.0,cached,cached,23.637245178222656,20.50596237182617,1.1527011394500732,1.3316608667373655,cop-dem-glo-30,1.0,368.7635803222656,10.269299507141112,165.72128295898438,06-07-1,1.0,20.43857765197754,27.541900634765625,12.248931884765623,209.16766357421875,1.8675683736801147,0.3512631952762604,0.42529296875,20.07255744934082,138.2124481201172,1.8295825719833367,4.971004486083984,v2.0,1.0,5.1,7.7,43.3,25.4,34.6,40.0
47982688,47.1232602,16.28969291,02-06-18,4.85,4.1,12.53,47.5,1.0,12.3,3.1,114.8,2026-07-17T14:56:15.808762,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.5552483201026917,0.5052198171615601,0.3759305477142334,0.3572410941123962,0.5096848011016846,0.2089058011770248,-0.5096848011016846,-0.1592849791049957,0.419217973947525,1.5000371932983398,0.2375558316707611,1.5380536317825315,EPSG:32633,1.0,cached,cached,23.581830978393555,20.81476402282715,1.1329376697540283,1.4124798774719238,cop-dem-glo-30,1.0,264.2178955078125,5.203731536865234,213.1277618408203,02-06-1,1.0,20.011478424072266,28.400909423828125,11.041534423828123,235.15182495117188,2.099569797515869,0.3772418200969696,0.42999267578125,19.95649528503418,130.58889770507812,2.062234878540039,5.403532981872559,v2.0,1.0,6.0,6.77,39.2,27.9,25.7,46.4
48022702,47.24569335,16.35750603,06-07-18,5.8,5.5,21.1,28.1,3.0,< LOD,2.0,165.8,2026-07-17T14:56:15.809121,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.5822440981864929,0.369749367237091,0.3399316668510437,0.3285468220710754,0.5910937190055847,0.1635236293077469,-0.5910937190055847,-0.1208771914243698,0.4435060620307922,2.439349889755249,0.1949332654476165,1.823717474937439,EPSG:32633,1.0,cached,cached,23.17217063903809,19.5328426361084,1.1863183975219729,1.184598445892334,cop-dem-glo-30,1.0,307.0118103027344,4.412938117980957,199.5167694091797,06-07-1,1.0,20.88158798217773,27.977447509765625,11.856353759765623,198.81301879882807,1.775116205215454,0.3163904547691345,0.41949462890625,20.752071380615234,136.79937744140625,2.060154438018799,5.533235549926758,v2.0,1.0,6.4,5.82,35.7,25.9,28.3,45.8
48062708,47.29637182,16.41678159,05-07-18,6.48,6.1,10.89,19.4,2.0,< LOD,2.2,42.1,2026-07-17T14:56:17.619253,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.8052794337272644,0.498151957988739,0.4546808898448944,0.4406739175319671,0.7211738228797913,0.3430449068546295,-0.7211738228797913,-0.3019553124904632,0.5912481546401978,2.9592125415802,0.1950286328792572,2.112905740737915,EPSG:32633,1.0,cached,cached,23.82168769836425,21.72512435913086,1.0965040922164917,1.5544312000274658,cop-dem-glo-30,1.0,324.0765075683594,5.82963228225708,192.68228149414065,05-07-1,1.0,20.527217864990234,27.735260009765625,11.215728759765623,184.74124145507807,1.649475336074829,0.3508178293704986,0.453399658203125,20.375362396240234,136.5582733154297,2.113149881362915,5.423974990844727,v2.0,1.0,5.7,7.39,43.9,29.2,30.5,40.2
48122730,47.48881664,16.52059488,18-06-18,6.81,6.3,14.46,18.0,,68,2.0,277.2,2026-07-17T14:56:17.619405,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.6230007410049438,0.4304362535476684,0.3966816067695617,0.379046231508255,0.5986402630805969,0.2217824310064315,-0.5986402630805969,-0.151631161570549,0.4252809584140777,1.539520263671875,0.2195768505334854,1.5812742710113523,EPSG:32633,1.0,cached,cached,23.154170989990234,20.251501083374023,1.1433310508728027,1.3714838027954102,cop-dem-glo-30,1.0,236.50152587890625,1.3438156843185425,146.46072387695312,18-06-1,1.0,19.66288185119629,28.529815673828125,11.844268798828123,203.029541015625,1.812763810157776,0.3967216908931732,0.467529296875,19.67759895324707,129.99057006835938,2.5973377227783203,6.181301593780518,v2.0,1.0,5.956521739130436,6.800434782608696,42.06818181818182,26.417391304347824,35.38695652173913,38.19565217391305
48202738,47.5541021,16.63555874,18-06-18,6.37,5.8,17.08,12.5,,58.1,1.4,315.5,2026-07-17T14:56:17.619675,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.3717864155769348,0.2583849430084228,0.2509003281593323,0.2327445298433303,0.462159126996994,0.0365521647036075,-0.462159126996994,0.0416198074817657,0.2364742010831833,0.6970095634460449,0.2228036820888519,1.5084397792816162,EPSG:32633,1.0,cached,cached,21.975128173828125,19.5126895904541,1.1261967420578003,1.4508912563323977,cop-dem-glo-30,1.0,276.3664245605469,1.1570638418197632,120.22518157958984,18-06-1,1.0,20.317596435546875,29.291534423828125,12.529815673828123,203.54258728027344,1.8173445463180544,0.3246994018554687,0.405914306640625,20.21960830688477,128.12757873535156,2.875547170639038,6.433469295501709,v2.0,1.0,6.6,6.4,36.8,26.6,35.1,38.2
48222780,47.92869563,16.71115772,21-05-18,7.98,7.1,23.55,22.9,96.0,17.5,2.1,329.1,2026-07-17T14:56:17.620146,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.4745502471923828,0.3220904469490051,0.3162143528461456,0.2963170707225799,0.51308274269104,0.0607336722314357,-0.51308274269104,0.0149413086473941,0.3076905906200409,0.9314643144607544,0.2230084240436554,1.4016315937042236,EPSG:32633,1.0,cached,cached,22.1772689819336,19.33110237121582,1.1472325325012207,1.3780748844146729,cop-dem-glo-30,1.0,135.99868774414062,3.2700328826904297,129.22923278808594,21-05-1,1.0,18.174774169921875,26.420440673828125,10.595001220703123,165.71791076660156,1.4796241521835327,0.1786921322345733,0.318572998046875,18.29541015625,136.63975524902344,2.464266538619995,5.591800689697266,v2.0,1.0,7.0,5.58,48.2,22.5,30.9,46.6
48342774,47.86505893,16.8638522,26-06-18,8.09,7.4,22.61,29.1,86.0,62.2,2.9,367.8,2026-07-17T14:56:17.760161,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.4115869104862213,0.1972133070230484,0.2027215957641601,0.1724547296762466,0.4741711616516113,-0.1177128851413726,-0.4741711616516113,0.1462989598512649,0.2557404339313507,0.7017914056777954,0.1319264471530914,1.3207186460494995,EPSG:32633,1.0,cached,cached,21.98402214050293,19.098350524902344,1.1510953903198242,1.3717178106307983,cop-dem-glo-30,1.0,119.7321548461914,0.6217868328094482,187.85646057128903,26-06-1,1.0,21.36579704284668,30.582550048828125,13.281768798828123,135.273681640625,1.2078007459640503,0.2563917934894562,0.3711090087890625,21.377166748046875,135.46484375,3.302445650100708,6.811155319213867,v2.0,1.0,7.2,4.95,37.5,24.6,36.7,38.7
48442784,47.94615773,17.00926007,11-06-18,7.84,7.2,14.94,14.4,3.0,< LOD,1.6,146.2,2026-07-17T14:56:17.760365,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.709446132183075,0.4689201116561889,0.4379900395870209,0.4280613362789154,0.6467332243919373,0.2145694494247436,-0.6467332243919373,-0.1607908755540847,0.5041396021842957,2.3373050689697266,0.2159262150526046,1.8013721704483032,EPSG:32633,1.0,cached,cached,22.52113151550293,19.726343154907227,1.141677975654602,1.4035272598266602,cop-dem-glo-30,1.0,158.0243682861328,1.1725757122039795,162.7976837158203,11-06-1,1.0,21.470361709594727,30.609893798828125,13.289642333984377,151.50241088867188,1.352700114250183,0.2461771219968795,0.392578125,21.70600891113281,128.94960021972656,3.215914487838745,6.609169006347656,v2.0,1.0,7.3,5.45,44.6,29.1,25.2,45.7
