POINT_ID,Latitude,Longitude,Survey_Date,Extraction_Time,Pipeline_Version,DEM_Source,dem_ok,elevation,slope,aspect,CRS
47862690,47.15023795,16.13421178,06-07-18,2026-07-17T14:56:39.212540,1.0.0,cop-dem-glo-30,1.0,289.6748352050781,11.028627395629883,133.46044921875,EPSG:32633
47882704,47.27427248,16.17535859,06-07-18,2026-07-17T14:56:39.213036,1.0.0,cop-dem-glo-30,1.0,368.7635803222656,10.269299507141113,165.72128295898438,EPSG:32633
47982688,47.1232602,16.28969291,02-06-18,2026-07-17T14:56:39.213443,1.0.0,cop-dem-glo-30,1.0,264.2178955078125,5.203731536865234,213.1277618408203,EPSG:32633
48022702,47.24569335,16.35750603,06-07-18,2026-07-17T14:56:39.213778,1.0.0,cop-dem-glo-30,1.0,307.0118103027344,4.412938117980957,199.5167694091797,EPSG:32633
48222780,47.92869563,16.71115772,21-05-18,2026-07-17T14:56:39.455733,1.0.0,cop-dem-glo-30,1.0,135.99868774414062,3.2700328826904297,129.22923278808594,EPSG:32633
48062708,47.29637182,16.41678159,05-07-18,2026-07-17T14:56:39.455154,1.0.0,cop-dem-glo-30,1.0,324.0765075683594,5.82963228225708,192.68228149414062,EPSG:32633
48122730,47.48881664,16.52059488,18-06-18,2026-07-17T14:56:39.455326,1.0.0,cop-dem-glo-30,1.0,236.50152587890625,1.3438156843185425,146.46072387695312,EPSG:32633
48202738,47.5541021,16.63555874,18-06-18,2026-07-17T14:56:39.455526,1.0.0,cop-dem-glo-30,1.0,276.3664245605469,1.1570638418197632,120.22518157958984,EPSG:32633
48442784,47.94615773,17.00926007,11-06-18,2026-07-17T14:56:39.566526,1.0.0,cop-dem-glo-30,1.0,158.0243682861328,1.1725757122039795,162.7976837158203,EPSG:32633
48342774,47.86505893,16.8638522,26-06-18,2026-07-17T14:56:39.566317,1.0.0,cop-dem-glo-30,1.0,119.7321548461914,0.6217868328094482,187.85646057128906,EPSG:32633
