POINT_ID,Latitude,Longitude,Survey_Date,Extraction_Time,Pipeline_Version,ERA5_Time,weather_ok,temperature_mean,temperature_max,temperature_min,rainfall_total_mm,rainfall_mean_mm,soil_moisture_mean,soil_moisture_max,soil_temperature_mean,solar_radiation_mean,wind_speed_mean,wind_speed_max,CRS
47862690,47.15023795,16.13421178,06-07-18,2026-07-17T14:56:55.858171,1.0.0,06-07-1,1.0,20.46944236755371,27.467681884765625,12.633697509765625,230.08245849609375,2.054307699203491,0.36505427956581116,0.4299468994140625,20.22953987121582,137.35081481933594,1.694620966911316,4.868531703948975,EPSG:4326
47882704,47.27427248,16.17535859,06-07-18,2026-07-17T14:56:57.353762,1.0.0,06-07-1,1.0,20.43857765197754,27.541900634765625,12.248931884765625,209.16766357421875,1.8675683736801147,0.3512631952762604,0.42529296875,20.07255744934082,138.2124481201172,1.8295825719833374,4.971004486083984,EPSG:4326
47982688,47.1232602,16.28969291,02-06-18,2026-07-17T14:56:57.372163,1.0.0,02-06-1,1.0,20.011478424072266,28.400909423828125,11.041534423828125,235.15182495117188,2.099569797515869,0.3772418200969696,0.42999267578125,19.95649528503418,130.58889770507812,2.062234878540039,5.403532981872559,EPSG:4326
48022702,47.24569335,16.35750603,06-07-18,2026-07-17T14:56:57.417664,1.0.0,06-07-1,1.0,20.881587982177734,27.977447509765625,11.856353759765625,198.81301879882812,1.775116205215454,0.3163904547691345,0.41949462890625,20.752071380615234,136.79937744140625,2.060154438018799,5.533235549926758,EPSG:4326
48062708,47.29637182,16.41678159,05-07-18,2026-07-17T14:56:57.435542,1.0.0,05-07-1,1.0,20.527217864990234,27.735260009765625,11.215728759765625,184.74124145507812,1.649475336074829,0.35081782937049866,0.453399658203125,20.375362396240234,136.5582733154297,2.113149881362915,5.423974990844727,EPSG:4326
48122730,47.48881664,16.52059488,18-06-18,2026-07-17T14:56:57.453942,1.0.0,18-06-1,1.0,19.66288185119629,28.529815673828125,11.844268798828125,203.029541015625,1.8127638101577759,0.3967216908931732,0.467529296875,19.67759895324707,129.99057006835938,2.5973377227783203,6.181301593780518,EPSG:4326
48202738,47.5541021,16.63555874,18-06-18,2026-07-17T14:56:57.472489,1.0.0,18-06-1,1.0,20.317596435546875,29.291534423828125,12.529815673828125,203.54258728027344,1.8173445463180542,0.32469940185546875,0.405914306640625,20.219608306884766,128.12757873535156,2.875547170639038,6.433469295501709,EPSG:4326
48222780,47.92869563,16.71115772,21-05-18,2026-07-17T14:56:57.490432,1.0.0,21-05-1,1.0,18.174774169921875,26.420440673828125,10.595001220703125,165.71791076660156,1.4796241521835327,0.17869213223457336,0.318572998046875,18.29541015625,136.63975524902344,2.464266538619995,5.591800689697266,EPSG:4326
48342774,47.86505893,16.8638522,26-06-18,2026-07-17T14:56:57.524478,1.0.0,26-06-1,1.0,21.36579704284668,30.582550048828125,13.281768798828125,135.273681640625,1.2078007459640503,0.2563917934894562,0.3711090087890625,21.377166748046875,135.46484375,3.302445650100708,6.811155319213867,EPSG:4326
48442784,47.94615773,17.00926007,11-06-18,2026-07-17T14:56:57.543459,1.0.0,11-06-1,1.0,21.470361709594727,30.609893798828125,13.289642333984375,151.50241088867188,1.352700114250183,0.24617712199687958,0.392578125,21.706008911132812,128.94960021972656,3.215914487838745,6.609169006347656,EPSG:4326
