,count,mean,std,min,25%,50%,75%,max,median,missing_count
pH_H2O,18983.0,6.259459516409419,1.3194652235541957,3.34,5.12,6.29,7.5,10.43,6.29,1
pH_CaCl2,18983.0,5.706426802928936,1.398586216813402,2.6,4.5,5.8,7.1,9.8,5.8,1
EC,18975.0,18.389963899868246,25.56063017687572,0.24,8.094999999999999,13.95,20.6,1295.6,13.95,9
sentinel_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18974
NDVI,10.0,0.5917740166187286,0.19431448895028694,0.2804597914218902,0.45038208365440363,0.5948778986930847,0.7601980715990067,0.8712565898895264,0.5948778986930847,18974
EVI,10.0,0.32616096585988996,0.09443815191745099,0.1734694838523864,0.25086072832345957,0.3455726355314255,0.37654644250869745,0.4900591969490051,0.3455726355314255,18974
SAVI,10.0,0.3115403547883034,0.08813142276772769,0.1721111088991165,0.2505763247609138,0.32131506502628326,0.35468690097332,0.4788329601287842,0.32131506502628326,18974
MSAVI,10.0,0.2846916064620018,0.09068371283487374,0.1533629745244979,0.2233793102204799,0.2909113764762878,0.32127121090888977,0.4720417559146881,0.2909113764762878,18974
GNDVI,10.0,0.5538732737302781,0.12501454056671896,0.3793340623378753,0.4505738765001297,0.5432228446006775,0.6579693406820297,0.7612420916557312,0.5432228446006775,18974
NDMI,10.0,-0.09684000425040717,0.028410371101060008,-0.1298803389072418,-0.12149484083056447,-0.10318820923566815,-0.06920018047094342,-0.0565714798867702,-0.10318820923566815,18974
NDWI,10.0,-0.5538732737302781,0.12501454056671896,-0.7612420916557312,-0.6579693406820297,-0.5432228446006775,-0.4505738765001297,-0.3793340623378753,-0.5432228446006775,18974
BSI,10.0,0.10988358557224269,0.014700766092835094,0.0902856290340423,0.09835311956703655,0.1075180023908615,0.12023038417100897,0.1319753974676132,0.1075180023908615,18974
NDRE,10.0,0.3778634056448936,0.15472714065911083,0.1385693848133087,0.259569488465786,0.3810850828886032,0.5099694281816483,0.598213255405426,0.3810850828886032,18974
CIre,10.0,1.479848289489746,0.9116474358524121,0.3655056357383728,0.7281859219074249,1.3148390650749207,2.204718232154846,3.002737045288086,1.3148390650749207,18974
Brightness,10.0,0.1674447432160377,0.020498825854459037,0.1394832879304886,0.15485351532697675,0.16435758769512177,0.18677823990583414,0.1931998133659362,0.16435758769512177,18974
ClayIndex,10.0,0.9772285580635071,0.014579529972265949,0.951383888721466,0.968949943780899,0.9795787632465363,0.9841732680797577,0.9966161251068116,0.9795787632465363,18974
sentinel1_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18974
VV_mean,10.0,23.060561180114746,0.8771614047930972,21.975128173828125,22.263234615325935,23.16317081451416,23.62339162826538,24.580955505371094,23.16317081451416,18974
