POINT_ID,N,OC,clay,sand,silt,pH_H2O
47862690,1.1,12.4,24.9,25.4,49.8,4.81
47882704,1.3,16.7,25.4,34.6,40.0,4.93
47982688,3.1,47.5,27.9,25.7,46.4,4.85
48022702,2.0,28.1,25.9,28.3,45.8,5.8
48062708,2.2,19.4,29.2,30.5,40.2,6.48
48122730,2.0,18.0,26.417391304347824,35.38695652173913,38.19565217391305,6.81
48202738,1.4,12.5,26.6,35.1,38.2,6.37
48222780,2.1,22.9,22.5,30.9,46.6,7.98
48342774,2.9,29.1,24.6,36.7,38.7,8.09
48442784,1.6,14.4,29.1,25.2,45.7,7.84
